title,store,description,percent,dateValid,restrictions,activated
ממגוון מעדן גבינה 88-103 גרם,דניאלה,"ממגוון מעדן גבינה 88-103 גרם , דניאלה",8 יח ב- 26₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
ממגוון משקה חלב 1 ליטר,יטבתה,"ממגוון משקה חלב 1 ליטר , יטבתה",2 יח ב- 19.90₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
משקה שיבולת שועל 1 ליטר,,משקה שיבולת שועל 1 ליטר,2 יח' ב- 22₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
"ממגוון דנונה אקטיביה 8 * 150 מ""ל אקטיביה",,"ממגוון דנונה אקטיביה 8 * 150 מ""ל אקטיביה",ב- 17.90₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
נייר טואלט לילי לבן מגה רול 18 גלילים,,נייר טואלט לילי לבן מגה רול 18 גלילים,ב- 29.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון משקה דנונה 267 גרם,,ממגוון משקה דנונה 267 גרם,4 יח ב- 18₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון גרעיני תירס מתוק/לייט 3*165גרם יכין,,ממגוון גרעיני תירס מתוק/לייט 3*165גרם יכין,ב- 10₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
"ממגוון בירה ויינשטפן 500 מ""ל",,"ממגוון בירה ויינשטפן 500 מ""ל",2 יח ב- 20₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
אל סבון קמיל בלו קלאסיק 1 ליטר,,אל סבון קמיל בלו קלאסיק 1 ליטר,ב- 16.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
שעועית ירוקה שלמה מוקפאת 800 גרם,,שעועית ירוקה שלמה מוקפאת 800 גרם,ב- 11.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
מלווח מעדנות 700 גרם (6 יח),,מלווח מעדנות 700 גרם (6 יח),2 יח ב- 25₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון לקטים לבישול סנפרוסט,,ממגוון לקטים לבישול סנפרוסט,ב- 12.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
"ממגוון סבון ידיים נוזלי 300 מ""ל פלמוליב",,"ממגוון סבון ידיים נוזלי 300 מ""ל פלמוליב",ב- 6.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון גלידה קרמיסימו 1.33 ליטר שטראוס,,ממגוון גלידה קרמיסימו 1.33 ליטר שטראוס,ב- 16.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
שלגוני שרבט בצורת מכונית 204 גרם,,שלגוני שרבט בצורת מכונית 204 גרם,ב- 12.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
לאבנה 5% 250 גרם,,לאבנה 5% 250 גרם,2 יח' ב- 20₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון פיניש גל למדיח 1 ליטר פיניש,,ממגוון פיניש גל למדיח 1 ליטר פיניש,ב- 29.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
"רוטב צ'ילי מתוק 700 מ""ל",,"רוטב צ'ילי מתוק 700 מ""ל",ב- 8.9₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
גבינה צהובה קלאסית28% נעם 200 גרם,,גבינה צהובה קלאסית28% נעם 200 גרם,ב- 14.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
ממגוון עוגיות מזרחיות בטעמים 400 גרם,עבאדי,"ממגוון עוגיות מזרחיות בטעמים 400 גרם, עבאדי",2 יח ב- 32₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,False
גבינת בייבי בל 5 יח * 20 גרם,,גבינת בייבי בל 5 יח * 20 גרם,ב- 15.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון מקלות גריסיני 175-200 גרם,מאיר בייגל,"ממגוון מקלות גריסיני 175-200 גרם, מאיר בייגל",ב- 5.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון זית מיקס/קלמטה 190-230 גרם זיתא,,ממגוון זית מיקס/קלמטה 190-230 גרם זיתא,2 יח' ב- 26₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
כוסות נייר 50 יחידות שופרסל,,כוסות נייר 50 יחידות שופרסל,4 יח' ב- 20₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"ממגוון משקה אקטיביה 250 מ""ל",שטראוס,"ממגוון משקה אקטיביה 250 מ""ל , שטראוס",4 יח ב- 18.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
גבינה צהובה נעם 9% 200 גרם,,גבינה צהובה נעם 9% 200 גרם,ב- 14.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון משקה שיבולת שועל 1 ליטר אוטלי,,ממגוון משקה שיבולת שועל 1 ליטר אוטלי,ב- 12.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון רביולי בטעמים 330 גרם פסטה ריקו,,ממגוון רביולי בטעמים 330 גרם פסטה ריקו,2 יח' ב- 40₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון וופלים שופרסל 400-500 גרם GOFRE,,ממגוון וופלים שופרסל 400-500 גרם GOFRE,ב- 9.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
יוגורט בסגנון יווני 6.5% 130 מל,,יוגורט בסגנון יווני 6.5% 130 מל,3 יח' ב- 10₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון קפסולות אלומיניום שופרסל 50 גרם שופרסל,,ממגוון קפסולות אלומיניום שופרסל 50 גרם שופרסל,2 יח' ב- 25₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"שמן זית אורגני 750 מ""ל גרין",,"שמן זית אורגני 750 מ""ל גרין",2 יח' ב- 60₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון ארלה גבינת שמנת 200 גרם ארלה,,ממגוון ארלה גבינת שמנת 200 גרם ארלה,ב- 13.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
נקניקיות עוף 400 גרם,,נקניקיות עוף 400 גרם,ב- 7.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון פולפה/מחית עגבניות מרוסקות/טבעית 3*400 ג יכין,,ממגוון פולפה/מחית עגבניות מרוסקות/טבעית 3*400 ג יכין,ב- 10₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון ארוחות מבית מאדאם פרז,350 גרם,"ממגוון ארוחות מבית מאדאם פרז, 350 גרם",ב- 10₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון גבינת שמנת 25% משק יעקבס,225 גרם,"ממגוון גבינת שמנת 25% משק יעקבס, 225 גרם",ב- 11.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
לזניה ברילה 500 גרם,,לזניה ברילה 500 גרם,ב- 13.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"ממגוון מארז משחת קולגייט אדום 2*100מ""ל קולגייט",,"ממגוון מארז משחת קולגייט אדום 2*100מ""ל קולגייט",ב- 12.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
מטליות רב שימושיותXPO יחידה,,מטליות רב שימושיותXPO יחידה,ב- 14.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
בולגרית מעודנת 5% 250 גרם,,בולגרית מעודנת 5% 250 גרם,ב- 19.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון מעדני פרי ללא תוספת סוכר 284 גרם,סן דלפור,"ממגוון מעדני פרי ללא תוספת סוכר 284 גרם , סן דלפור",ב- 18.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
גבינה בולגרית 5% 250 גרם,,גבינה בולגרית 5% 250 גרם,ב- 17.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון אטריות להקפצה אטריות 200 גרם טעמי אסיה,,ממגוון אטריות להקפצה אטריות 200 גרם טעמי אסיה,3 יח' ב- 12₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון טרה ציפס בטעמים 110 גרם טרה ציפס,,ממגוון טרה ציפס בטעמים 110 גרם טרה ציפס,2 יח' ב- 35₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
גרנה פדנו 29%שופרסל 200 גרם,,גרנה פדנו 29%שופרסל 200 גרם,ב- 21.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"ממגוון מי פה ליסטרין 400/500 מ""ל",,"ממגוון מי פה ליסטרין 400/500 מ""ל",ב- 14.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"וופלים בטעם שוקולד 1 ק""ג",,"וופלים בטעם שוקולד 1 ק""ג",ב- 16.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון פיניש מפיץ ריח למדיח פיניש,,ממגוון פיניש מפיץ ריח למדיח פיניש,2 יח' ב- 20₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון חליטה קרה ויסוצקי 45 גרם ויסוצקי,,ממגוון חליטה קרה ויסוצקי 45 גרם ויסוצקי,2 יח' ב- 36₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"אורז בסמטי טילדה 1 ק""ג",,"אורז בסמטי טילדה 1 ק""ג",2 יח' ב- 32₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון סכיני גילוח אקסטרים-3 4 יחידות שיק,,ממגוון סכיני גילוח אקסטרים-3 4 יחידות שיק,ב- 13.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון תחבושות דיפנד לבריחת שתן קלה8-12יח דיפנד,,ממגוון תחבושות דיפנד לבריחת שתן קלה8-12יח דיפנד,ב- 13.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"ממגוון קרם גוף פנינה 340 מ""ל פנינה רוזנבלום",,"ממגוון קרם גוף פנינה 340 מ""ל פנינה רוזנבלום",ב- 24.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון קמיל בלו סופט שמפו/אל סבון 1 ליטר קמיל בלו,,ממגוון קמיל בלו סופט שמפו/אל סבון 1 ליטר קמיל בלו,ב- 19.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"ממגוון בונזו 3 ק""ג לה קט",,"ממגוון בונזו 3 ק""ג לה קט",2 יח' ב- 90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
קורנפלקס ללא גלוטן 500 גרם גרין,,קורנפלקס ללא גלוטן 500 גרם גרין,ב- 14.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון חליטות צמחים 25 שקיקים,שופרסל,"ממגוון חליטות צמחים 25 שקיקים, שופרסל",ב- 8.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"ממגוון תחליב לאחר גילוח ניוואה 100 מ""ל NIVEA",,"ממגוון תחליב לאחר גילוח ניוואה 100 מ""ל NIVEA",ב- 34.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
סט אוכל זכוכית אופל 18 חלקים GALA HOME,,סט אוכל זכוכית אופל 18 חלקים GALA HOME,ב- 49.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
פנקו פירורי לחם 200 גרם,,פנקו פירורי לחם 200 גרם,2 יח' ב- 10₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
סכום נירוסטה 24 חלקים דגם MONACO GALA HOME,,סכום נירוסטה 24 חלקים דגם MONACO GALA HOME,ב- 49.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
תה שחור קלאסי שופרסל 100שקיקים*1.5גרם,,תה שחור קלאסי שופרסל 100שקיקים*1.5גרם,ב- 9.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"ממגוון לה קט 2.85 ק""ג לה קט",,"ממגוון לה קט 2.85 ק""ג לה קט",2 יח' ב- 110₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"דאודורנט ספריי לנשים 150 מ""ל",,"דאודורנט ספריי לנשים 150 מ""ל",ב- 22.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"רסק תפו""ע ללא תוספת סוכר 4 * 113 גרם",,"רסק תפו""ע ללא תוספת סוכר 4 * 113 גרם",2 יח' ב- 18₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"גל מרוכז להסרת כתמים 200 מ""ל",,"גל מרוכז להסרת כתמים 200 מ""ל",ב- 10₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"אנתוש דוחה יתושים 50 מ""ל",,"אנתוש דוחה יתושים 50 מ""ל",ב- 9.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ספירה מכשיר +רפיל 90לילו יחידה,,ספירה מכשיר +רפיל 90לילו יחידה,ב- 24.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
קמח שקדים ללא גלוטן 500 גרם,,קמח שקדים ללא גלוטן 500 גרם,ב- 35₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"פולי קפה רגואן 1 ק""ג 1 ק""ג",,"פולי קפה רגואן 1 ק""ג 1 ק""ג",ב- 99.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
ממגוון מפה גאקרד GALA HOME,,ממגוון מפה גאקרד GALA HOME,ב- 24.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
"מסכה קרטין+E לשיקום שיער 500 מ""ל",,"מסכה קרטין+E לשיקום שיער 500 מ""ל",ב- 24.90₪,תקף עד: 29/08/2025,* מוגבל ל 2 מימושים,True
בלנדר שייקר 550W קערה 2 ל כולל מטחנת קפה ותבלינים PHILIPS דגם hr2141 יבוא מקביל,,בלנדר שייקר 550W קערה 2 ל כולל מטחנת קפה ותבלינים PHILIPS דגם hr2141 יבוא מקביל,ב- 179₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
"עגלת קמפינג גלגלי שטח 5"" מתקפלת ונפתחת ביד אחת משקל נשיאה עד 75 ק""ג MINI MAXX דגם Pull&go CV-07 מתנה: רמקול נייד",,"עגלת קמפינג גלגלי שטח 5"" מתקפלת ונפתחת ביד אחת משקל נשיאה עד 75 ק""ג MINI MAXX דגם Pull&go CV-07 מתנה: רמקול נייד",ב- 149₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
כסא גיימינג אורטופדי מתכוונן עם תאורת LED מתחלפת כריות תמיכה ראש וגב ושלט Gamerz,,כסא גיימינג אורטופדי מתכוונן עם תאורת LED מתחלפת כריות תמיכה ראש וגב ושלט Gamerz,ב- 399₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
מכונת קפה עם מטחנה ומקציף חלב NINJA דגם LUXE ES601 יבוא רשמי מתנה: מארז 800 גרם פולי קפה BEANZ,,מכונת קפה עם מטחנה ומקציף חלב NINJA דגם LUXE ES601 יבוא רשמי מתנה: מארז 800 גרם פולי קפה BEANZ,ב- 2299₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
שואב אבק רובוטי שוטף ומנגב+תחנת טעינה ריקון וניקוי אוטו+הפעלה מאפלקציה ROIDMI דגם EVE CC,,שואב אבק רובוטי שוטף ומנגב+תחנת טעינה ריקון וניקוי אוטו+הפעלה מאפלקציה ROIDMI דגם EVE CC,ב- 1199₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
מאוורר מגדל 45W עם שלט וטיימר MIDEA דגם FZ10-17JRA שלוש שנים אחריות,,מאוורר מגדל 45W עם שלט וטיימר MIDEA דגם FZ10-17JRA שלוש שנים אחריות,ב- 279₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,False
המוסקיטו המקורי האיטלקי! קטלן יתושים וזבובים 1X11W של MOSQUITO דגם M1 יבוא רשמי,,המוסקיטו המקורי האיטלקי! קטלן יתושים וזבובים 1X11W של MOSQUITO דגם M1 יבוא רשמי,ב- 549₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
סט 4 מזוודות סוויס קשיחות וקלות משקל מABS גדלים 14+20+24+28 של SWISS VOYGER דגם MADRID צבע לבחירה,,סט 4 מזוודות סוויס קשיחות וקלות משקל מABS גדלים 14+20+24+28 של SWISS VOYGER דגם MADRID צבע לבחירה,ב- 379₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
מקדחה פטישון BLACK DECKER 500W דגם BEH200-QS שנתיים אחריות,,מקדחה פטישון BLACK DECKER 500W דגם BEH200-QS שנתיים אחריות,ב- 99₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
סט אוכל 18 חלקים ל6 סועדים CORELLE דגם Pioneer Woman Teal z14018 שלוש שנות אחריות יבוא רשמי,,סט אוכל 18 חלקים ל6 סועדים CORELLE דגם Pioneer Woman Teal z14018 שלוש שנות אחריות יבוא רשמי,ב- 444₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
"בידורית 80W 2X8""+תאורה+מיקרופון אלחוטי+סוללה עד 5 שעות עבודה ARTOS דגם MAIN STAGE",,"בידורית 80W 2X8""+תאורה+מיקרופון אלחוטי+סוללה עד 5 שעות עבודה ARTOS דגם MAIN STAGE",ב- 333₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
שואב אבק אלחוטי V11 EXTRA RED DYSON יבוא מקביל שנתיים אחריות,,שואב אבק אלחוטי V11 EXTRA RED DYSON יבוא מקביל שנתיים אחריות,ב- 1499₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
"סמארטפון 6.79"" Redmi 13 8GB RAM 256GB שנתיים אחריות יבוא רשמי: מתנה אוזניות BT",,"סמארטפון 6.79"" Redmi 13 8GB RAM 256GB שנתיים אחריות יבוא רשמי: מתנה אוזניות BT",ב- 549₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
כסא מחשב אורטופדי גובה וידייות מתכווננות גב רשת MY CASA ARGOFLEX דגם FRED לבן,,כסא מחשב אורטופדי גובה וידייות מתכווננות גב רשת MY CASA ARGOFLEX דגם FRED לבן,ב- 199₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
"טלוויזיה ""32 HD סופר דקה prosonic דגם U32H שלוש שנים אחריות",,"טלוויזיה ""32 HD סופר דקה prosonic דגם U32H שלוש שנים אחריות",ב- 333₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
מארז 40 קולבי גומי גמישים עם כיסוי מונע החלקה HONEY CAN DO דגם HNG-08944 רק 2.5 ₪ לקולב,,מארז 40 קולבי גומי גמישים עם כיסוי מונע החלקה HONEY CAN DO דגם HNG-08944 רק 2.5 ₪ לקולב,ב- 100₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
"מתנפח לגינה אורך 4.4 רוחב 3.6 מ' גובה 20 ס""מ עם משטח קפיצה",מגלשה ומשאבה MIRAHOME דגם עולם המגלשות MJ70,"מתנפח לגינה אורך 4.4 רוחב 3.6 מ' גובה 20 ס""מ עם משטח קפיצה, בריכת פעילות, מגלשה ומשאבה MIRAHOME דגם עולם המגלשות MJ70",ב- 1799₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
"טאבון גז נייד לפיצה 14"" כולל אבן שמוט 35 ס""מ מגיע עד 520 מעלות MIRA HOME דגם P140 צבע לבחירה",,"טאבון גז נייד לפיצה 14"" כולל אבן שמוט 35 ס""מ מגיע עד 520 מעלות MIRA HOME דגם P140 צבע לבחירה",ב- 649₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
גריל גז 3 מבערים 30,000BTU מתקפלים Broil King דגם Royal 320 מתנה: סט כלים+כיסוי 25 שנות אחריות,"גריל גז 3 מבערים 30,000BTU מתקפלים Broil King דגם Royal 320 מתנה: סט כלים+כיסוי 25 שנות אחריות",ב- 2399₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
סט 3 מזוודות בד אולטרא קלות 30/25/20 IT Luggage אנגליה דגם Lustrous Luxe שלוש שנים אחריות יבוא רשמי,,סט 3 מזוודות בד אולטרא קלות 30/25/20 IT Luggage אנגליה דגם Lustrous Luxe שלוש שנים אחריות יבוא רשמי,ב- 699₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
"ספת רביצה אורך 150 ס""מ לבית ולחוץ עם בד דוחה מים סנן קרני שמש NEAT דגם Fluffies אולטרא לאונג׳ר צבע לבחירה",,"ספת רביצה אורך 150 ס""מ לבית ולחוץ עם בד דוחה מים סנן קרני שמש NEAT דגם Fluffies אולטרא לאונג׳ר צבע לבחירה",ב- 499₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
פח דוושה 30 ליטר נירוסטה טריקה שקטה ודלי פנימי honey can do דגם TRS-01542,,פח דוושה 30 ליטר נירוסטה טריקה שקטה ודלי פנימי honey can do דגם TRS-01542,ב- 179₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
זוג פרוזקטורים לד נטענים לבית/שטח 20W על חצובה ARTOS דגם PROJECTOR כולל מטען קיר+רכב+כבל טעינה 3 מ,,זוג פרוזקטורים לד נטענים לבית/שטח 20W על חצובה ARTOS דגם PROJECTOR כולל מטען קיר+רכב+כבל טעינה 3 מ,ב- 179₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
מעצב שיער כולל דפיוזר חיבור BT ותיק DYSON דגם Airwrap i.d HS08 יבוא מקביל שנתיים אחריות,,מעצב שיער כולל דפיוזר חיבור BT ותיק DYSON דגם Airwrap i.d HS08 יבוא מקביל שנתיים אחריות,ב- 1899₪,תקף עד: 29/08/2025,* מוגבל למימוש אחד,True
,,,,,,False
